GameId	Sources	Show Name	PlayerID (this should reflect turn order)	Commander	Partner Commander	Link to Deck	AVG CMC of Deck	Total Cost of Deck in paper 	Land Count in deck)	Deck Type	Sol Ring / Mana Crypt by Turn 3	1 accelerant or Both?	Mana producing Lands at end of the Game	Cards Remaining in Deck	Eliminated by Which Player	Player Eliminated How	Player Won?	Color Identity of Commander
3099	Commander Clash 10/21/16	Commander Clash	4	Rafiq of the Many	N/A	http://tappedout.net/mtg-decks/rafiq-of-the-many-commander-clash-102116/?cb=1536707407	3.97	167	38	Voltron	No Early ManaC/Sol Ring	0	14	63	2	Combat Damage	No	WUG
3100	Commander Clash 10/14/16	Commander Clash	1	Depala Pilot Exemplar	N/A	http://tappedout.net/mtg-decks/depala-commander-clash-101416/?cb=1536707521	3.25	206	37	Aggro	No Early ManaC/Sol Ring	0	12	68	3	Non-Combat non-combo	No	WR
3100	Commander Clash 10/14/16	Commander Clash	2	Padeem Consul of Innovation	N/A	http://tappedout.net/mtg-decks/padeem-commander-clash-101416/?cb=1536707555	3.46	297	37	Combo	Early ManaC/Sol Ring	1	4	37	1	Combat Damage	No	U
3100	Commander Clash 10/14/16	Commander Clash	3	Gonti Lord of Luxury	N/A	http://tappedout.net/mtg-decks/gonti-commander-clash-101416/?cb=1536707615	4.6	407	37	Mid-Range	No Early ManaC/Sol Ring	0	10	62	0		Yes	B
3100	Commander Clash 10/14/16	Commander Clash	4	Rashmi Eternities Crafter	N/A	http://tappedout.net/mtg-decks/rashmi-commander-clash-101416/?cb=1536707587	3.79	349	37	Combo	No Early ManaC/Sol Ring	0	14	44	1	Non-Combat non-combo	No	UG
3101	Commander Clash 10/8/16	Commander Clash	1	Obzedat Ghost Council	N/A	http://tappedout.net/mtg-decks/obzedat-commander-clash-10816/?cb=1536707723	3.82	243	38	Control	No Early ManaC/Sol Ring	0	8	84	2	Combo	No	WB
3101	Commander Clash 10/8/16	Commander Clash	2	Adun Oakenshield	N/A	http://tappedout.net/mtg-decks/adun-oakenshield-commander-clash-10816/?cb=1536707740	4.14	367	37	Mid-Range	No Early ManaC/Sol Ring	0	6	76	0		Yes	BRG
3101	Commander Clash 10/8/16	Commander Clash	3	Cromat	N/A	http://tappedout.net/mtg-decks/cromat-commander-clash-10816/?cb=1536707754	3.52	183	37	Unkown	No Early ManaC/Sol Ring	0	9	78	2	Combo	No	WUBRG
3101	Commander Clash 10/8/16	Commander Clash	4	Mina and Denn Wildborn	N/A	http://tappedout.net/mtg-decks/mina-and-denn-commander-clash-10816/?cb=1536707775	3.97	284	38	Aggro	No Early ManaC/Sol Ring	0	16	71	2	Combo	No	RG
3102	Commander Clash 10/8/16	Commander Clash	1	Mina and Denn Wildborn	N/A	http://tappedout.net/mtg-decks/mina-and-denn-commander-clash-10816/?cb=1536707775	3.97	284	38	Aggro	No Early ManaC/Sol Ring	0	17	59	3	Combat Damage	No	RG
3102	Commander Clash 10/8/16	Commander Clash	2	Obzedat Ghost Council	N/A	http://tappedout.net/mtg-decks/obzedat-commander-clash-10816/?cb=1536707723	3.82	243	38	Control	No Early ManaC/Sol Ring	0	8	72	4	Non-Combat non-combo	No	WB
3102	Commander Clash 10/8/16	Commander Clash	3	Adun Oakenshield	N/A	http://tappedout.net/mtg-decks/adun-oakenshield-commander-clash-10816/?cb=1536707740	4.14	367	37	Mid-Range	No Early ManaC/Sol Ring	0	8	48	0		Yes	BRG
3102	Commander Clash 10/8/16	Commander Clash	4	Cromat	N/A	http://tappedout.net/mtg-decks/cromat-commander-clash-10816/?cb=1536707754	3.52	183	37	Unkown	No Early ManaC/Sol Ring	0	7	71	3	Combat Damage	No	WUBRG
3103	Commander Clash 10/1/16	Commander Clash	1	Wort Boggart Auntie	N/A	http://tappedout.net/mtg-decks/wort-commander-clash-10116/?cb=1536707898	3.5	218	36	Aggro	No Early ManaC/Sol Ring	0	15	14	0		Yes	BR
3103	Commander Clash 10/1/16	Commander Clash	2	Horde of Notions	N/A	http://tappedout.net/mtg-decks/horde-of-notions-commander-clash-10116/?cb=1536707923	4.47	186	38	Mid-Range	No Early ManaC/Sol Ring	0	14	62	1	Non-Combat non-combo	No	WUBRG
3103	Commander Clash 10/1/16	Commander Clash	3	Oona Queen of the Fae	N/A	http://tappedout.net/mtg-decks/oona-commander-clash-10116/?cb=1536707933	3.25	305	36	Combo	No Early ManaC/Sol Ring	0	24	73	1	Non-Combat non-combo	No	UB
3103	Commander Clash 10/1/16	Commander Clash	4	Brigid Hero of Kinsbaile	N/A	http://tappedout.net/mtg-decks/brigid-commander-clash-10116/?cb=1536707955	3.03	115	37	Aggro	No Early ManaC/Sol Ring	0	12	20	1	Non-Combat non-combo	No	W
3104	Commander Clash 9/23/16	Commander Clash	1	Karador Ghost Chieftain	N/A	http://tappedout.net/mtg-decks/karador-commander-clash-92316/?cb=1536708063	2.34	1880	32	Unkown	No Early ManaC/Sol Ring	0	6	72	0		Yes	WBG
3104	Commander Clash 9/23/16	Commander Clash	2	Derevi Empyrial Tactician	N/A	http://tappedout.net/mtg-decks/derevi-commander-clash-92316/?cb=1536708084	2.41	2060	31	Combo	No Early ManaC/Sol Ring	0	5	81	1	Combo	No	WUG
3104	Commander Clash 9/23/16	Commander Clash	3	Jeleva Nephalia's Scourge	N/A	http://tappedout.net/mtg-decks/jeleva-commander-clash-92316/?cb=1536708105	2.26	5323	28	Combo	No Early ManaC/Sol Ring	0	4	82	1	Combo	No	UBR
3104	Commander Clash 9/23/16	Commander Clash	4	Rafiq of the Many	N/A	http://tappedout.net/mtg-decks/rafiq-of-the-many-commander-clash-92316/?cb=1536708134	2.68	1373	37	Voltron	No Early ManaC/Sol Ring	0	6	83	1	Combo	No	WUG
3105	Commander Clash 9/23/16	Commander Clash	1	Derevi Empyrial Tactician	N/A	http://tappedout.net/mtg-decks/derevi-commander-clash-92316/?cb=1536708084	2.41	2060	31	Control	No Early ManaC/Sol Ring	0	8	63	0		Yes	WUG
3105	Commander Clash 9/23/16	Commander Clash	2	Jeleva Nephalia's Scourge	N/A	http://tappedout.net/mtg-decks/jeleva-commander-clash-92316/?cb=1536708105	2.26	5323	28	Combo	Early ManaC/Sol Ring	1	1	57	3	Combat Damage	No	UBR
3105	Commander Clash 9/23/16	Commander Clash	3	Rafiq of the Many	N/A	http://tappedout.net/mtg-decks/rafiq-of-the-many-commander-clash-92316/?cb=1536708134	2.68	1373	37	Voltron	No Early ManaC/Sol Ring	0	11	54	1	Combat Damage	No	WUG
3105	Commander Clash 9/23/16	Commander Clash	4	Karador Ghost Chieftain	N/A	http://tappedout.net/mtg-decks/karador-commander-clash-92316/?cb=1536708063	2.34	1880	32	Combo	No Early ManaC/Sol Ring	0	6	67	3	Combat Damage	No	WBG
3106	Commander Clash 9/17/16	Commander Clash	1	Marchesa the Black Rose	N/A	http://tappedout.net/mtg-decks/marchesa-commander-clash-91716/?cb=1536708330	3.61	659	38	Aggro	No Early ManaC/Sol Ring	0	13	46	4	Combat Damage	No	UBR
3106	Commander Clash 9/17/16	Commander Clash	2	Daghatar the Adamant	N/A	http://tappedout.net/mtg-decks/daghatar-commander-clash-91716/?cb=1536708348	4.21	692	37	Mid-Range	No Early ManaC/Sol Ring	0	19	32	3	Combat Damage	No	WBG
3106	Commander Clash 9/17/16	Commander Clash	3	Lady Evangela	N/A	http://tappedout.net/mtg-decks/lady-evangela-commander-clash-911716/?cb=1536708366	4.17	692	36	Control	No Early ManaC/Sol Ring	0	14	51	4	Infect	No	WUB
3106	Commander Clash 9/17/16	Commander Clash	4	Intet the Dreamer	N/A	http://tappedout.net/mtg-decks/intet-commander-clash-91716/?cb=1536708393	4.34	656	38	Mid-Range	No Early ManaC/Sol Ring	0	17	33	0		Yes	URG
